NAMA,SATUAN,NILAI 2024 SEMESTER I,BIDANG
Volume Air Limbah Kecamatan Lubuklinggau Timur I,Liter,4190400,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Timur II,Liter,3983400,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Barat I,Liter,4800000,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Barat II,Liter,2518800,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Selatan I,Liter,2032800,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Selatan II,Liter,4140000,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Utara I,Liter,2229600,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Volume Air Limbah Kecamatan Lubuklinggau Utara II,Liter,5179200,Bidang Pengendalian Pencemaran & Kerusakan Lingkungan
Komposisi Sampah Sisa Makanan,Persen,7.88,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Kertas Karton,Persen,4.24,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Nappies ( Pampers ),Persen,6.06,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Taman,Persen,3.03,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Kayu,Persen,12.12,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Tekstil,Persen,6.06,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Karet dan Kulit,Persen,12.12,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Plastik,Persen,18.18,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Logam,Persen,3.03,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Kaca,Persen,3.03,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Lain-lain Organik,Persen,18.18,Bidang Tata Lingkungan & Peningkatan Kapasitas
Komposisi Sampah Lain-lain AnOrganik,Persen,6.06,Bidang Tata Lingkungan & Peningkatan Kapasitas
Jumlah Truck Pengangkut Sampah,Unit,20,Bidang Pengelolaan Sampah & RTH
Jumlah Gerobak Pengangkut Sampah,Unit,0,Bidang Pengelolaan Sampah & RTH
Jumlah Motor Pengangkut Sampah,Unit,10,Bidang Pengelolaan Sampah & RTH
Jumlah Pick Up L300,Unit,8,Bidang Pengelolaan Sampah & RTH
Jumlah Pick Up Panther,Unit,0,Bidang Pengelolaan Sampah & RTH
Jumlah Amrol,Unit,1,Bidang Pengelolaan Sampah & RTH
Jumlah Alat Berat,Unit,0,Bidang Pengelolaan Sampah & RTH
Jumlah Sky Lift,Unit,1,Bidang Pengelolaan Sampah & RTH
Jumlah Ekskavator,Unit,2,Bidang Pengelolaan Sampah & RTH
Jumlah Back Loader,Unit,1,Bidang Pengelolaan Sampah & RTH
Jumlah Buldozer,Unit,1,Bidang Pengelolaan Sampah & RTH
